title,link,price,original_price,purchase_count,ratings,ratings_count,image,age_group,discount
"Skillmatics Storybook Adventure Art Kit - Write & Create Storybooks, Creative Activity, DIY Kit, 150+ Stickers, Gifts for Kids Ages 5, 6, 7, 8, 9, 10 - Multicolor",https://www.amazon.in/Skillmatics-Storybook-Adventure-Art-Kit/dp/B0CMH53VBX/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-11,948,999,700+,4.3,377,https://m.media-amazon.com/images/I/81Dx0RR-zCL._AC_UL320_.jpg,,5.11
"Skillmatics Card Game - Guess in 10 Harry Potter, Perfect for Boys, Girls, Kids, Families, Teens & Adults, Play with Wizards, Magic, Ron, Hermione, Dumbledore, Snape, Gifts for Ages 8, 9, 10 and Up",https://www.amazon.in/Skillmatics-Harry-Potter-Card-Game/dp/B0BJVV849P/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-12,474,499,600+,4.4,"1,449",https://m.media-amazon.com/images/I/91q9NWx9ErL._AC_UL320_.jpg,Ages: 8 years and up,5.01
"Skillmatics Art & Craft Activity - Foil Fun Unicorns & Princesses, No Mess Art for Kids, Craft Kits & Supplies, DIY Creative Activity, Gifts for Girls & Boys Ages 4, 5, 6, 7, 8, 9, Travel Toys",https://www.amazon.in/Skillmatics-Art-Craft-Activity-Princesses/dp/B0BVMZHYFN/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-13,948,999,600+,4.5,729,https://m.media-amazon.com/images/I/81SPhU31SDL._AC_UL320_.jpg,,5.11
"Skillmatics Art & Craft Activity - Sand-Tastic Art Animals, Sand Art for Kids, Craft Kits & Supplies, DIY Creative Activity, Gifts for Girls & Boys Ages 4, 5, 6, 7, 8, 9, 10",https://www.amazon.in/Skillmatics-Art-Craft-Activity-Sand-Tastic/dp/B0DHRVK5J4/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-14,949,999,300+,4.7,16,https://m.media-amazon.com/images/I/81WBkA63+DL._AC_UL320_.jpg,,5.01
"Skillmatics Art & Craft Activity- Foil Fun Holiday Magic, No Mess Art for Kids, Craft Kits & Supplies, DIY Creative Activity, Gifts for Ages 4, 5, 6, 7, 8, 9",https://www.amazon.in/Skillmatics-Activity-Supplies-Creative-Multicolour/dp/B0CK1H8D8V/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-15,949,999,1K+,4.0,10,https://m.media-amazon.com/images/I/81cpFrVq1mL._AC_UL320_.jpg,Ages: 4 - 9 years,5.01
"Skillmatics High Contrast Sensory Cloth Mat for Babies & Infants - Newborn Visual Stimulation, Observation Skills, Gifts for 0 to 18 Months, Multicolor",https://www.amazon.in/Skillmatics-Contrast-Sensory-Babies-Infants/dp/B0DFC5QP7F/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-16,"1,139","1,199",600+,3.8,5,https://m.media-amazon.com/images/I/71weFJYSMvL._AC_UL320_.jpg,Ages: 0 - 2 years,5.0
"Skillmatics Paper Art Activity - Dot It with Magnets Animals, No Mess Repeatable Art for Kids, Craft Kits, DIY Creative Activity, Gifts for Boys & Girls Ages 4, 5, 6, 7",https://www.amazon.in/Skillmatics-Art-Activity-Dot-Magnets/dp/B0BY97B5N8/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-17,854,899,600+,4.4,361,https://m.media-amazon.com/images/I/81I-jt0L0aL._AC_UL320_.jpg,Ages: 36 months - 7 years,5.01
"Skillmatics Card Game - What's for Dinner, Fun Strategy & Memory Game, Gifts & Family Friendly Games for Ages 7 and Up",https://www.amazon.in/Skillmatics-Card-Game-Strategy-Multicolor/dp/B09HMN2HM7/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-18,284,299,800+,4.4,362,https://m.media-amazon.com/images/I/81gzGKV0cvL._AC_UL320_.jpg,Ages: 7 years and up,5.02
"Skillmatics Paper Magical Scratch Art Book For Kids - Animals, Craft Kits & Supplies, Diy Activity & Stickers, Gifts For Toddlers, Girls & Boys Ages 3, 4, 5, 6, 7, 8, Travel Toys, Multicolor",https://www.amazon.in/Skillmatics-Magical-Scratch-Book-Kids/dp/B0CCL91VZR/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-19,567,599,500+,4.0,255,https://m.media-amazon.com/images/I/81Hs1RwqYvL._AC_UL320_.jpg,,5.34
"Skillmatics Pretend Play Playset - Restaurant Playset, 30+ Magnetic Food Items for Child's Play, Restaurant Toys, Back-to-School Kitchen Accessories, Gifts for Kids, Toddlers, Ages 3, 4, 5, 6, 7, 8",https://www.amazon.in/Skillmatics-Pretend-Playset-Back-School/dp/B0D5M1JTRC/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Ia83r0UShgS5psMV683oJvjWtOeki0_G3XggXiOUPCvey0cxJg8UnRnBfZTvwuCSs_01zmyPp3OjCcg3C6SoXGMA-4VZpWhPgcjIrz0EfnQFXlwlfls15p44cONrB94nc53yLZmLrn3cfGanvazO1X9b-mP2bQf5BdSrsFEalQvYfGBzzx2O6liWp3fpoCf0zfw4-IH-FWe256fOebq0TOguz4BzG0GgFvZuIMKNs8kR96BX9wGRKljEg8ncYZPEWV1C7EoTbNpwKwsGlBJ8ONxu-yau4Y2GI9chxIqs3isqeRw_19qK9brvo2LH_39NL_v3HTCbY7zJ-qcJHxM9Hrk3iYco52p_m23xq9k2Gvc.vulUGJwcyNKEbAMuwHzh_B7MplNlUV8WuqLF8SesABk&dib_tag=se&qid=1735477082&refinements=p_89%3ASkillmatics&s=toys&sr=1-20,"1,423","1,499",500+,4.2,19,https://m.media-amazon.com/images/I/915mxk0yY9L._AC_UL320_.jpg,Ages: 36 months - 8 years,5.07
